pair_id,logical_law,category_id,semantic_dimension,image_A_path,image_B_path,clip_A,clip_B,clip_mean,clip_diff,image_similarity
comm_conj_001,Commutative,1,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,34.53583526611328,35.53678512573242,35.03631019592285,1.0009498596191406,91.15252494812012
comm_conj_002,Commutative,1,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,37.80624771118164,35.4473762512207,36.62681198120117,2.3588714599609375,82.21997022628784
comm_conj_003,Commutative,1,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_B.png,39.628421783447266,39.93871307373047,39.78356742858887,0.3102912902832031,92.167729139328
comm_conj_004,Commutative,1,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_004_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_004_B.png,38.387691497802734,37.8964958190918,38.142093658447266,0.4911956787109375,80.4254412651062
comm_conj_005,Commutative,1,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_005_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_005_B.png,33.739418029785156,39.5555419921875,36.64748001098633,5.816123962402344,78.07070016860962
comm_horiz_001,Commutative,2,Horizontal,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_001_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_001_B.png,39.54912567138672,37.410823822021484,38.4799747467041,2.1383018493652344,89.65590000152588
comm_horiz_002,Commutative,2,Horizontal,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_002_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_002_B.png,38.126678466796875,36.679718017578125,37.4031982421875,1.44696044921875,95.9227204322815
comm_horiz_003,Commutative,2,Horizontal,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_003_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_003_B.png,35.32475662231445,32.674556732177734,33.999656677246094,2.6501998901367188,85.19632816314697
comm_horiz_004,Commutative,2,Horizontal,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_004_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_004_B.png,34.296119689941406,31.71298599243164,33.00455284118652,2.5831336975097656,92.22858548164368
comm_horiz_005,Commutative,2,Horizontal,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_005_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/2/Horizontal/comm_horiz_005_B.png,35.71467590332031,37.181278228759766,36.44797706604004,1.4666023254394531,93.44629645347595
comm_vert_001,Commutative,3,Vertical,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_001_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_001_B.png,35.891727447509766,41.51612091064453,38.70392417907715,5.624393463134766,74.4175136089325
comm_vert_002,Commutative,3,Vertical,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_002_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_002_B.png,36.43972396850586,39.12741470336914,37.7835693359375,2.6876907348632812,92.18615889549255
comm_vert_003,Commutative,3,Vertical,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_003_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_003_B.png,35.86066436767578,32.8203010559082,34.34048271179199,3.040363311767578,93.39331388473511
comm_vert_004,Commutative,3,Vertical,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_004_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_004_B.png,39.9121208190918,41.24003601074219,40.57607841491699,1.3279151916503906,77.61175632476807
comm_vert_005,Commutative,3,Vertical,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_005_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/3/Vertical/comm_vert_005_B.png,39.7996826171875,37.936763763427734,38.86822319030762,1.8629188537597656,77.41446495056152
comm_attr_001,Commutative,4,Attributes,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_001_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_001_B.png,34.733890533447266,31.26022720336914,32.9970588684082,3.473663330078125,89.755117893219
comm_attr_002,Commutative,4,Attributes,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_002_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_002_B.png,31.41609764099121,32.79635238647461,32.10622501373291,1.3802547454833984,97.93983697891235
comm_attr_003,Commutative,4,Attributes,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_003_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_003_B.png,33.807857513427734,35.422237396240234,34.615047454833984,1.6143798828125,93.5506284236908
comm_attr_004,Commutative,4,Attributes,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_004_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_004_B.png,35.18428039550781,34.87954330444336,35.031911849975586,0.3047370910644531,83.1889808177948
comm_attr_005,Commutative,4,Attributes,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_005_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/4/Attributes/comm_attr_005_B.png,30.137104034423828,33.096046447753906,31.616575241088867,2.958942413330078,87.49221563339233
assoc_conj_001,Associative,5,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_001_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_001_B.png,34.08236312866211,36.33232116699219,35.20734214782715,2.249958038330078,86.61054968833923
assoc_conj_002,Associative,5,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_002_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_002_B.png,35.239662170410156,34.64225387573242,34.94095802307129,0.5974082946777344,86.25004291534424
assoc_conj_003,Associative,5,Conjunctive,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_003_A.png,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Associative/5/Conjunctive/assoc_conj_003_B.png,38.5279655456543,33.44279098510742,35.98537826538086,5.085174560546875,78.02780866622925
