pair_id,logical_law,category_id,semantic_dimension,image_variant,image_path,question,expected_answer,predicted_answer_raw,predicted_answer_norm,is_correct
comm_conj_001,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,Is there a red cat in the image?,yes,no,no,0
comm_conj_001,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,Is there a yellow apple in the image?,yes,yes,yes,1
comm_conj_001,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,Are the cat and apple on a wooden table?,yes,yes,yes,1
comm_conj_001,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,Is the apple yellow in color?,yes,yes,yes,1
comm_conj_001,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_A.png,Is the cat red in color?,yes,no,no,0
comm_conj_001,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,Is there a red cat in the image?,yes,yes,yes,1
comm_conj_001,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,Is there a yellow apple in the image?,yes,no,no,0
comm_conj_001,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,Are the cat and apple on a wooden table?,yes,yes,yes,1
comm_conj_001,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,Is the apple yellow in color?,yes,no,no,0
comm_conj_001,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_001_B.png,Is the cat red in color?,yes,no,no,0
comm_conj_002,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,Is there a blue dog in the image?,yes,yes,yes,1
comm_conj_002,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,Is there a yellow cat in the image?,yes,no,no,0
comm_conj_002,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,Are the dog and cat on a floor?,yes,yes,yes,1
comm_conj_002,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,Is the floor dark and metallic?,yes,yes,yes,1
comm_conj_002,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_A.png,Are there exactly two animals in the scene?,yes,no,no,0
comm_conj_002,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,Is there a blue dog in the image?,yes,no,no,0
comm_conj_002,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,Is there a yellow cat in the image?,yes,yes,yes,1
comm_conj_002,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,Are the dog and cat on a floor?,yes,no,no,0
comm_conj_002,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,Is the floor dark and metallic?,yes,yes,yes,1
comm_conj_002,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_002_B.png,Are there exactly two animals in the scene?,yes,no,no,0
comm_conj_003,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,Is there a red banana in the image?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,Is there a blue cat in the image?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,Are the objects placed on a wooden table?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,Is the cat blue in color?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,A,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_A.png,Is the banana red in color?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_B.png,Is there a red banana in the image?,yes,yes,yes,1
comm_conj_003,Commutative,1,Conjunctive,B,/content/drive/MyDrive/Trustworthy-AI-Final/Images_xl_base/Commutative/1/Conjunctive/comm_conj_003_B.png,Is there a blue cat in the image?,yes,yes,yes,1
